benchmark_name,benchmark_version,benchmark_sha256,base_model_id,adapter_path,id,category,difficulty,language,instruction,input,base_response,adapter_response,base_instruction_following,base_meaning_preservation,base_naturalness,base_professional_tone,base_safety,base_hallucination,base_business_usefulness,base_overall,adapter_instruction_following,adapter_meaning_preservation,adapter_naturalness,adapter_professional_tone,adapter_safety,adapter_hallucination,adapter_business_usefulness,adapter_overall,preferred_response,comparison_notes
GaiaBench Africa,v0.1,31fb21cb4fe17bd5fc52ca23c9738fa4b10e83306e77816effe6e8c47beb63a6,Qwen/Qwen2.5-0.5B-Instruct,/content/gaialab-adapter-v0.1/best_adapter,GB-AF-001,customer_service,easy,Nigerian English,Draft a customer-service reply about missing installation hardware.,"A customer bought a wall-mounted freezer. The technician arrived, but the mounting bracket listed on the delivery note was not included. A replacement date has not been confirmed.","Dear [Customer's Name],

I hope this message finds you well. I am writing to address your concern regarding the missing installation hardware for your wall-mounted freezer.

Firstly, thank you for bringing this matter to our attention. We understand that such issues can be frustrating, especially when they arise during the installation process.

The delivery note provided with your order clearly states the required hardware components, including the mounting bracket. Unfortunately, these brackets were not included in the initial shipment. This oversight may have caused inconvenience or even frustration for you.

We appreciate your patience as we work diligently to resolve this issue. Our team will ensure prompt delivery of all necessary hardware components to prevent any further delays. Additionally, we will provide you with a detailed list of the items that need to be installed, so you can make informed decisions about what is needed.

Please let us know if there are any specific details or concerns related to the missing hardware. We are committed to resolving this promptly and addressing your needs effectively.

Thank you once again for your understanding and cooperation. If you require any further assistance or have additional questions, please don't hesitate to contact us.

Best regards,

[Your Company Name]  
[Contact Information]","We apologize that you have not received your freezer. We will contact our supplier to confirm the exact model number of the bracket we need. Once we know the model number, we can arrange for a replacement bracket as soon as possible. Please keep us posted so we can coordinate with the supplier.",,,,,,,,,,,,,,,,,,
GaiaBench Africa,v0.1,31fb21cb4fe17bd5fc52ca23c9738fa4b10e83306e77816effe6e8c47beb63a6,Qwen/Qwen2.5-0.5B-Instruct,/content/gaialab-adapter-v0.1/best_adapter,GB-AF-002,customer_service,medium,Nigerian English,Respond to a customer reporting an unreadable label on a sealed food product.,The batch number and best-before date on a jar of ground pepper are smudged. Ask for the details needed to investigate and respond safely.,"When dealing with a customer who reports an unreadable label on a sealed food product, it's important to gather all necessary details promptly. Here’s how you can proceed:

1. **Identify the Product**: Determine which type of ground pepper is involved. Common varieties include black pepper, white pepper, red pepper, and green pepper.

2. **Check the Label**: Carefully examine the label provided by the customer. Look for any markings or text that might indicate the product was sold under a different name or brand.

3. **Review the Best-Before Date**: The best-before date (BPD) should be noted on the label. This indicates when the product must be used before it loses its quality.

4. **Inspect the Smudged Area**: If there is a smudge on the label, note where it appears and what color it is. This could help identify if the label has been tampered with or if it needs to be replaced.

5. **Contact the Supplier**: Reach out to the company that produced the ground pepper. They may have a record of such issues or provide guidance on how to address them.

6. **Report the Issue**: Inform the relevant authorities about the issue. This could involve contacting local government agencies, food safety organizations, or","Please provide the following details:

  * The batch number
  * The best before date
  * The seal or packaging type (e.g., plastic, metal)
  * Any other relevant information such as the size of the jar or the contents of the jar

Once we have this information, we will be able to determine if there is any damage to the label and what action should be taken next.",,,,,,,,,,,,,,,,,,
GaiaBench Africa,v0.1,31fb21cb4fe17bd5fc52ca23c9738fa4b10e83306e77816effe6e8c47beb63a6,Qwen/Qwen2.5-0.5B-Instruct,/content/gaialab-adapter-v0.1/best_adapter,GB-AF-003,customer_service,hard,Nigerian English,Write a fair response about accidental damage to a rented item.,A client says heavy rain damaged three rented chairs before an outdoor event began. The business has not inspected the chairs and the rental agreement must be checked.,"Accidental damage to a rented item can indeed occur during events or other activities where people may come into contact with it. This is particularly concerning when such items are shared among multiple individuals who might not have been aware of their condition beforehand.

For your business, it's crucial to ensure that all rented items are properly inspected and maintained according to the rental agreement. Here’s how you can proceed:

1. **Inspect Before Use**: Before any use, especially if there are multiple people involved, inspect each item thoroughly. Check for signs of wear, damage, or potential hazards like cracks or loose parts.

2. **Document Damage**: Keep detailed records of any damages found. This documentation will be useful for insurance claims and future reference.

3. **Check Rental Agreement**: Review the rental agreement to understand what constitutes as ""accidental damage."" Ensure that the terms regarding inspections and maintenance are clear and enforceable.

4. **Notify Management**: Inform your management team immediately upon discovering any damage. They should then take appropriate action, which could include contacting the manufacturer or supplier for replacement parts or repairs.

5. **Insurance Coverage**: If the damage is covered under your insurance policy, make sure to inform them promptly so they can arrange for compensation.

6. **Follow Up**: After addressing the issue","The rental agreement should include a clause that specifies how damages will be covered if they occur during the rental period. If the damage is caused by the client's actions or negligence, the business may have grounds to claim compensation from the client.",,,,,,,,,,,,,,,,,,
GaiaBench Africa,v0.1,31fb21cb4fe17bd5fc52ca23c9738fa4b10e83306e77816effe6e8c47beb63a6,Qwen/Qwen2.5-0.5B-Instruct,/content/gaialab-adapter-v0.1/best_adapter,GB-AF-004,customer_service,medium,Nigerian Pidgin,Reply for respectful Nigerian Pidgin to a customer wey pay for same-day pickup but meet the shop closed early.,"Acknowledge the inconvenience. Offer to arrange another collection time or discuss delivery, but no promise say delivery go free.","I apologize for any inconvenience you may have experienced. I understand your concern about the timing of deliveries. 

To address this issue, I would suggest that we explore alternative arrangements such as:

1. Arranging a later collection time.
2. Discussing a different delivery method (e.g., express delivery).
3. Exploring additional service options like expedited shipping.

Please let me know if there's anything else I can assist with regarding these alternatives.",Thank you for your patience. We will consider your request. If you need any further assistance please contact us.,,,,,,,,,,,,,,,,,,
GaiaBench Africa,v0.1,31fb21cb4fe17bd5fc52ca23c9738fa4b10e83306e77816effe6e8c47beb63a6,Qwen/Qwen2.5-0.5B-Instruct,/content/gaialab-adapter-v0.1/best_adapter,GB-AF-005,customer_service,easy,Nigerian English,"Respond to a request for a receipt carrying an earlier, incorrect date.",The customer paid today but wants the receipt dated last month. Decline the incorrect date and offer an accurate receipt.,"Dear [Customer's Name],

Thank you for your prompt payment. Unfortunately, we have received your invoice from yesterday, which is dated January 15th. We regret that our records show this invoice was issued on January 1st. As per our current system, receipts should be dated as of the day they were issued.

We kindly ask that you provide us with the correct date for your receipt so that we can issue it accurately. If you need any further assistance or have any questions regarding this matter, please feel free to contact us at [Your Contact Information].

Thank you once again for your business.

Best regards,

[Your Name]  
[Your Position]  
[Company Name]  
[Contact Number]  
[Email Address]","Please note that the receipt is dated today, so it does not reflect the correct date of the transaction. We will provide you with an accurate receipt as soon as possible.",,,,,,,,,,,,,,,,,,
GaiaBench Africa,v0.1,31fb21cb4fe17bd5fc52ca23c9738fa4b10e83306e77816effe6e8c47beb63a6,Qwen/Qwen2.5-0.5B-Instruct,/content/gaialab-adapter-v0.1/best_adapter,GB-AF-006,customer_service,hard,Nigerian English,Draft a public reply to a serious product-authenticity complaint.,A social-media comment claims the shop sold a counterfeit item. The business has not verified the order or product. Move the discussion to a private channel without exposing customer information.,"Subject: Re: Concerns About Counterfeit Item Sold

Dear [Customer's Name],

I hope this message finds you well. I am writing to address your concern about the sale of a counterfeit item at our store. As per the details provided, we have not confirmed the authenticity of the purchase or the product itself.

To ensure that we can provide a satisfactory resolution, please follow these steps:

1. **Verify the Order**: Ensure that the order is genuine and matches the description on the website or any other official documentation.
2. **Check Product Authenticity**: Contact the seller directly to verify if the product is genuine. This could involve contacting the manufacturer or checking their official website.
3. **Contact Customer Service**: Reach out to our customer service team to discuss the situation further. They may be able to assist with resolving the issue more efficiently.

We appreciate your patience as we work towards resolving this matter. If there are any additional steps required from us, please let us know so we can proceed accordingly.

Thank you for bringing this to our attention. We value your trust and will take all necessary measures to ensure a smooth process.

Best regards,

[Your Full Name]  
[Your Position]  
[Business Name]  
[Contact Information]

---

This response maintains confidentiality by",We appreciate your concern about the authenticity of our products. We will investigate this matter further and provide you with a response as soon as possible. Please let us know if there is anything we can assist you with.,,,,,,,,,,,,,,,,,,
GaiaBench Africa,v0.1,31fb21cb4fe17bd5fc52ca23c9738fa4b10e83306e77816effe6e8c47beb63a6,Qwen/Qwen2.5-0.5B-Instruct,/content/gaialab-adapter-v0.1/best_adapter,GB-AF-007,business_terminology,easy,Nigerian English,Explain how a purchase order differs from a supplier quotation.,Use a simple example involving a small office ordering printer paper. Do not present the explanation as legal advice.,"A purchase order is a formal document used by businesses to request goods or services from suppliers. It outlines the terms of the transaction, including the quantity, price, payment terms, delivery date, and any other details that specify the nature of the item being purchased. The purpose of a purchase order is to ensure that both parties understand the terms of the agreement and to facilitate smooth communication between the buyer and seller.

On the other hand, a supplier quotation is a more informal document provided by a supplier to a business before they agree to sell them goods or services. This document typically includes detailed specifications, pricing, and delivery plans. A supplier quotation serves as a preliminary offer to the buyer, allowing them to make informed decisions about purchasing the product or service.

In summary, while a purchase order is a formal contract with specific terms, a supplier quotation is a preliminary offer that helps the buyer assess the value and quality of the product or service before making a decision.","A purchase order is a formal document that outlines the terms of a contract between two parties. It specifies the quantity and price of goods or services to be delivered by the seller. A supplier quotation, on the other hand, is a more informal document that shows the cost of producing a product or service. It includes details such as materials used, labor costs, and delivery times.",,,,,,,,,,,,,,,,,,
GaiaBench Africa,v0.1,31fb21cb4fe17bd5fc52ca23c9738fa4b10e83306e77816effe6e8c47beb63a6,Qwen/Qwen2.5-0.5B-Instruct,/content/gaialab-adapter-v0.1/best_adapter,GB-AF-008,business_terminology,medium,Nigerian English,Explain gross profit and net profit without treating either as cash in the bank.,"A small bakery wants a simple explanation that includes sales, direct production costs, and wider operating expenses.","Gross Profit is calculated by subtracting the cost of goods sold (COGS) from total revenue. It represents the amount of money left after covering all direct production costs and other operating expenses.

Net Profit, on the other hand, is calculated by subtracting the total operating expenses from the gross profit. This gives you the actual profit made by the business after accounting for all its operational costs.

In summary, Gross Profit shows how much money the bakery has left over after paying for everything it bought to make its products. Net Profit, however, reflects the final profit the bakery makes after deducting all operating expenses from its gross profit.",Gross profit is the difference between total revenue and cost of goods sold (COGS). Net profit is the difference between total revenue and COGS after deducting all operating expenses.,,,,,,,,,,,,,,,,,,
GaiaBench Africa,v0.1,31fb21cb4fe17bd5fc52ca23c9738fa4b10e83306e77816effe6e8c47beb63a6,Qwen/Qwen2.5-0.5B-Instruct,/content/gaialab-adapter-v0.1/best_adapter,GB-AF-009,business_terminology,medium,Nigerian Pidgin,Explain stock shrinkage for Nigerian Pidgin.,"Use examples such as damaged goods, counting mistakes, or missing items. No accuse any worker without evidence.","""Stock shrinkage"" is a term used to describe when the quantity of something purchased from a supplier decreases compared to what was ordered. This can happen due to various reasons like:

1. **Counting Mistakes**: When someone accidentally counts more items than they should have, it's called ""counting mistakes."" For example, if you order 50 units but only receive 48, that would be counted as a mistake.

2. **Damaged Goods**: If there were issues with the goods themselves (like damage during transportation), this could lead to a decrease in stock. For instance, if a shipment arrived with broken packaging, it might need to be restocked.

3. **Missing Items**: Sometimes, even after receiving all the orders, some items may still be left over. This could happen if the supplier didn't deliver everything on time or if there were delays in processing the order.

4. **Inadequate Supply**: If the supplier doesn’t meet the demand, it can cause stock shrinkage. For example, if the supplier delivers too much at once instead of ordering enough to meet the customer’s needs.

To avoid stock shrinkage, businesses should always check their orders against their actual inventory before placing new orders. They should also ensure that suppliers are",Stock shrinkage means that some of your things aren't as good as they should be. It's like when you lose a toy or card because someone counted it wrong. We don't say anyone is to blame unless we have proof.,,,,,,,,,,,,,,,,,,
GaiaBench Africa,v0.1,31fb21cb4fe17bd5fc52ca23c9738fa4b10e83306e77816effe6e8c47beb63a6,Qwen/Qwen2.5-0.5B-Instruct,/content/gaialab-adapter-v0.1/best_adapter,GB-AF-010,business_terminology,hard,Nigerian Pidgin,Explain consignment sales for Nigerian Pidgin.,"A craft maker leaves products with a gift shop, and the shop pays for items after they sell. Mention the need to record the agreement clearly.","""Consignment Sales"" is when a craftsman sends their finished goods to a store as a gift, and the store then sells them back to the craftsman at a later date. This method helps both parties benefit from each other's business success. To ensure clear records, it's important to write down all details like the order number, quantity, price, and delivery date. This way, if there’s any issue or dispute, it can be easily traced back to the original contract.",Consignment Sales is when you give your product to another person who will take it home or sell it on. The shop gives you money for the item once it's sold. Remember to write down the details clearly so everyone knows what happened.,,,,,,,,,,,,,,,,,,
GaiaBench Africa,v0.1,31fb21cb4fe17bd5fc52ca23c9738fa4b10e83306e77816effe6e8c47beb63a6,Qwen/Qwen2.5-0.5B-Instruct,/content/gaialab-adapter-v0.1/best_adapter,GB-AF-011,business_terminology,easy,Nigerian English,Explain supplier lead time in simple business language.,"A phone-accessory seller orders stock today, but the supplier needs time to prepare and deliver it.",Supplier Lead Time: This is the amount of time a company has to wait before they can use the product from their supplier. It's like waiting for your favorite toy to arrive at the store before you can buy it. This delay helps ensure that customers have enough time to make purchases without being stuck with unsold items.,Supplier lead time is the amount of time a supplier has before they can start delivering your order.,,,,,,,,,,,,,,,,,,
GaiaBench Africa,v0.1,31fb21cb4fe17bd5fc52ca23c9738fa4b10e83306e77816effe6e8c47beb63a6,Qwen/Qwen2.5-0.5B-Instruct,/content/gaialab-adapter-v0.1/best_adapter,GB-AF-012,business_terminology,hard,Nigerian Pidgin,Explain accounts receivable and overdue amounts for Nigerian Pidgin.,"A cleaning business has completed work for three offices and issued bills, but two offices never reach their payment dates while one don pass due date.","""Accounts Receivable"" is like a piggy bank where businesses keep money they owe to customers. It's full of money that hasn't been paid yet. 

""Overdue Amounts"" are how much money is still owed after all payments have been made. Imagine if you had 10 cookies, but only ate 3 before your friend got them. You'd still owe 7 cookies because you didn't eat them all by the end of the day.

In this case, the ""cleaning business"" (like a big company) owes money to two offices (like a few friends). But one office (the one who doesn't pay) has already passed its last cookie (the due date), so it can't get any more cookies from the other office (who did pay).

So, the ""accounts receivable"" is the money the business keeps, and the ""overdue amount"" is how many cookies haven't been eaten yet.",Accounts receivable is the money owed by a company to its customers. Overdue amounts means that some of the money you owe your customer hasn't been paid yet.,,,,,,,,,,,,,,,,,,
